t,Wind,Solar,Geothermal,Biomass
523,0.2660152,0,1,0.827949056
524,0.3251916,0,1,0.827833093
525,0.3796024,0,1,0.827497201
526,0.410152,0,1,0.827041347
527,0.434664,0,1,0.82681342
528,0.2636308,0,1,0.827039347
529,0.3198776,0,1,0.82737524
530,0.2571916,0,1,0.827823097
531,0.1671744,0,1,0.828268954
532,0.2037148,0,1,0.828602847
533,0.2593584,0,1,0.829158669
534,0.57034,0,1,0.829822457
535,0.721808,0,1,0.830046385
536,0.833856,0,1,0.82921865
537,0.834448,0.029006,1,0.827755118
538,0.834448,0.1769416,1,0.826699456
539,0.834448,0.0919804,1,0.825743762
540,0.834448,0.1473646,1,0.824740083
541,0.834448,0.1860226,1,0.823730406
542,0.834448,0.0609162,1,0.823222569
543,0.834448,0.1709852,1,0.823396513
544,0.834448,0.274598,1,0.82425024
545,0.778572,0.1179038,1,0.82668746
546,0.800904,0.003461,1,0.828326935
547,0.834448,0,1,0.830738164
548,0.834448,0,1,0.831353967
549,0.834448,0,1,0.83177983
550,0.821792,0,1,0.832005758
551,0.834448,0,1,0.832223688
552,0.834448,0,1,0.83262556
553,0.782596,0,1,0.833223369
554,0.834448,0,1,0.833823177
555,0.824872,0,1,0.83462492
556,0.80578,0,1,0.835160749
557,0.540168,0,1,0.83537468
558,0.48924,0,1,0.835606606
559,0.2790744,0,1,0.835564619
560,0.0961016,0,1,0.834408989
561,0.02783196,0.115003,1,0.831807821
562,0,0.0328254,1,0.82846889
563,0,0.01029284,1,0.825769754
564,0.000493352,0.0267382,1,0.823762396
565,0,0.1688202,1,0.822488804
566,0,0.1766816,1,0.821888996
567,0,0.220924,1,0.821886996
568,0,0.1096004,1,0.822508797
569,0,0.059909,1,0.823836372
570,0,0.00288818,1,0.824834053
571,0,0,1,0.826947377
572,0.01979384,0,1,0.828532869
573,0.0504884,0,1,0.829922425
574,0.1068344,0,1,0.831024072
575,0.2290756,0,1,0.831927783
576,0.3178564,0,1,0.832629559
577,0.3914556,0,1,0.833229367
578,0.505704,0,1,0.833725208
579,0.481196,0,1,0.834217051
580,0.507456,0,1,0.834508957
581,0.56456,0,1,0.834894834
582,0.617104,0,1,0.835272713
583,0.65486,0,1,0.835150752
584,0.657756,0,1,0.833119402
585,0.6877,0.557558,1,0.830266315
586,0.630228,0.687568,1,0.827599168
587,0.3553292,0.694746,1,0.82472009
588,0.21588,0.653534,1,0.823164587
589,0.109728,0.624838,1,0.822648752
590,0.0780776,0.63821,1,0.822602767
591,0.065004,0.672718,1,0.822724728
592,0.013761,0.680042,1,0.823326536
593,0,0.592204,1,0.824526152
594,0,0.233032,1,0.825257917
595,0,0,1,0.825513836
596,0,0,1,0.825559821
597,0,0,1,0.825591811
598,0.00634316,0,1,0.825725768
599,0.03614652,0,1,0.825773752
600,0.075822,0,1,0.825935701
601,0.11621,0,1,0.826257598
602,0.1184752,0,1,0.826707454
603,0.18007,0,1,0.826819418
604,0.2309236,0,1,0.826817418
605,0.2429292,0,1,0.826817418
606,0.509676,0,1,0.82715531
607,0.567428,0,1,0.827381238
608,0.665292,0,1,0.826095649
609,0.547588,0.521634,1,0.823770393
610,0.674864,0.639228,1,0.821717051
611,0.650576,0.638272,1,0.819703695
612,0.546972,0.59752,1,0.818122201
613,0.490428,0.345852,1,0.817212492
614,0.627408,0.20646,1,0.816976567
615,0.679532,0.37064,1,0.817216491
616,0.646588,0.1578926,1,0.818454095
617,0.66972,0.203442,1,0.821423145
618,0.780648,0.044018,1,0.823552463
619,0.834448,0,1,0.826345569
620,0.834448,0,1,0.82728127
621,0.834448,0,1,0.828013036
622,0.834448,0,1,0.828722809
623,0.834448,0,1,0.829404591
624,0.77952,0,1,0.830050384
625,0.666128,0,1,0.830710173
626,0.624508,0,1,0.831040067
627,0.604676,0,1,0.831367962
628,0.3690256,0,1,0.831477927
629,0.634472,0,1,0.831693858
630,0.825032,0,1,0.831913788
631,0.834448,0,1,0.831913788
632,0.834448,0.0319672,1,0.829946417
633,0.834448,0.46922,1,0.826955374
634,0.834448,0.61902,1,0.824178263
635,0.834448,0.638824,1,0.822100928
636,0.834448,0.607748,1,0.820787348
637,0.834448,0.582316,1,0.819861644
638,0.834448,0.593164,1,0.819381798
639,0.834448,0.621982,1,0.819307821
640,0.81018,0.622142,1,0.819941619
641,0.794524,0.523204,1,0.822372841
642,0.834448,0.200108,1,0.824114283
643,0.690564,0,1,0.826419546
644,0.8315,0,1,0.827027351
645,0.820348,0,1,0.827515195
646,0.762108,0,1,0.827715131
647,0.823724,0,1,0.828051024
648,0.7932,0,1,0.828272953
649,0.756284,0,1,0.828494882
650,0.646852,0,1,0.828604846
651,0.805784,0,1,0.828612844
652,0.764332,0,1,0.828618842
653,0.783156,0,1,0.828616843
654,0.766084,0,1,0.828514875
655,0.706172,0,1,0.828410909
656,0.603976,0.01479322,1,0.827791107
657,0.72278,0.0368974,1,0.826525512
658,0.659344,0.179872,1,0.824614123
659,0.71012,0.229932,1,0.822368842
660,0.561292,0.313762,1,0.820573417
661,0.645212,0.28088,1,0.819449776
662,0.58576,0.287972,1,0.81893594
663,0.454224,0.382848,1,0.818895953
664,0.80776,0.1322006,1,0.81965771
665,0.65552,0.0841084,1,0.822254878
666,0.626864,0.1973378,1,0.824082294
667,0.7642,0,1,0.826519514
668,0.63516,0,1,0.828632837
669,0.676108,0,1,0.830786148
670,0.543456,0,1,0.832227687
671,0.3592404,0,1,0.833003439
672,0.3045904,0,1,0.833431302
673,0.2478524,0,1,0.833439299
674,0.1414248,0,1,0.833349328
675,0.02892196,0,1,0.833359325
676,0.0659144,0,1,0.833567258
677,0.035171,0,1,0.833871161
678,0.0033283,0,1,0.834275032
679,0,0,1,0.834478967
680,0,0.0323284,1,0.834083093
681,0,0.449586,1,0.832981446
682,0,0.094096,1,0.831549904
683,0,0.25188,1,0.829792466
684,0,0.35947,1,0.828025032
685,0,0.260394,1,0.826553503
686,0,0.145003,1,0.825797745
687,0.01514036,0.423994,1,0.825667786
688,0,0.310024,1,0.826361564
689,0.01868488,0.468758,1,0.828073017
690,0.0310396,0.1711282,1,0.829150672
691,0.11361,0,1,0.831759837
692,0.214716,0,1,0.832577575
693,0.2174816,0,1,0.833087412
694,0.524156,0,1,0.833297345
695,0.730948,0,1,0.833305342
696,0.794568,0,1,0.833211372
697,0.800204,0,1,0.833123401
698,0.798856,0,1,0.83303143
699,0.827248,0,1,0.833035429
700,0.83362,0,1,0.832929463
701,0.834448,0,1,0.832921465
702,0.820992,0,1,0.832911468
703,0.825788,0,1,0.83290547
704,0.82378,0.0246078,1,0.832501599
705,0.8247,0.446928,1,0.831595889
706,0.830264,0.198961,1,0.830582214
707,0.809756,0.189849,1,0.829462572
708,0.82382,0.227068,1,0.828746801
709,0.834448,0.1552112,1,0.828332933
710,0.834448,0.1274422,1,0.828224968
711,0.834448,0.220036,1,0.82821897
712,0.834448,0.094757,1,0.828410909
713,0.829604,0.01425118,1,0.829294626
714,0.824052,0,1,0.829736484
715,0.834448,0,1,0.830948097
716,0.834448,0,1,0.83137396
717,0.834448,0,1,0.831791827
718,0.834448,0,1,0.832101727
719,0.834448,0,1,0.832507598
720,0.834448,0,1,0.8328135
721,0.834448,0,1,0.833221369
722,0.834448,0,1,0.833871161
723,0.825672,0,1,0.834301024
724,0.834448,0,1,0.834193058
725,0.819432,0,1,0.834087092
726,0.7692,0,1,0.833979127
727,0.775668,0,1,0.833559261
728,0.77006,0.00421508,1,0.832365643
729,0.78202,0,1,0.830568218
730,0.82352,0.0821204,1,0.829102687
731,0.813652,0.00352064,1,0.827727127
732,0.826432,0.28299,1,0.826529511
733,0.834448,0.0451756,1,0.825621801
734,0.834448,0.295222,1,0.825331894
735,0.731704,0.298134,1,0.825355886
736,0.786456,0.630524,1,0.825785749
737,0.742728,0.523698,1,0.827815099
738,0.80054,0.225186,1,0.829192658
739,0.834448,0,1,0.831086052
740,0.82152,0,1,0.831038068
741,0.834448,0,1,0.831082054
742,0.834448,0,1,0.831503919
743,0.834448,0,1,0.832199696
744,0.834448,0,1,0.832979447
745,0.834448,0,0.998936667,0.834005118
746,0.834448,0,0.998936667,0.835018794
747,0.83382,0,0.998936667,0.835826536
748,0.834448,0,0.998936667,0.836540307
749,0.834448,0,0.998936667,0.837266075
750,0.81278,0,0.998936667,0.837805902
751,0.820692,0,0.998936667,0.837753919
752,0.834448,0,0.998936667,0.835794546
753,0.834448,0.0331484,0.998936667,0.832601567
754,0.834448,0.0802656,0.998936667,0.828512876
